,action,cos,sin,omega,reward
98,0.9039650559425354,0.9990994930267334,-0.04242890328168869,0.11528148502111435,-0.0031659933738410473
99,0.11559735238552094,0.9993006587028503,-0.03739295154809952,0.10079941153526306,-0.0031436379067599773
100,0.2152341604232788,0.9994832277297974,-0.03214414417743683,0.1050398200750351,-0.0024612629786133766
101,-0.2823750972747803,0.9995433688163757,-0.030216308310627937,0.03857544809579849,-0.002216674154624343
102,-0.339266300201416,0.9994890093803406,-0.03196429833769798,-0.03497672826051712,-0.0011772115249186754
103,-0.09126883745193481,0.9993663430213928,-0.035594239830970764,-0.07264027744531631,-0.0011527317110449076
104,-0.5548381209373474,0.9989997744560242,-0.044714927673339844,-0.18256168067455292,-0.0021029915660619736
105,0.38877856731414795,0.9986159205436707,-0.0525946170091629,-0.15778107941150665,-0.00548478402197361
106,0.6203584671020508,0.998328447341919,-0.05779533460736275,-0.10417328029870987,-0.005643079988658428
107,0.5170316100120544,0.9981201887130737,-0.06128738075494766,-0.06996504217386246,-0.004696555435657501
108,0.4680202305316925,0.9979774355888367,-0.06356929987668991,-0.04572753980755806,-0.00446940865367651
109,0.5222068428993225,0.9979292154312134,-0.06432142853736877,-0.015073485672473907,-0.004528311546891928
110,0.21788588166236877,0.9978295564651489,-0.06584976613521576,-0.030631674453616142,-0.004213159438222647
111,0.7863733768463135,0.9979526400566101,-0.06395691633224487,0.03793700784444809,-0.005054686684161425
112,0.3761136829853058,0.9980983138084412,-0.06164217367768288,0.04638637602329254,-0.0043814596720039845
113,0.19060422480106354,0.9981858730316162,-0.06020757555961609,0.02874537743628025,-0.004056079778820276
114,-0.055420875549316406,0.9981107115745544,-0.06144145876169205,-0.024723434820771217,-0.0037150417920202017
115,0.32013028860092163,0.9980400204658508,-0.06257851421833038,-0.022784985601902008,-0.003943420946598053
116,0.5265442132949829,0.9980689287185669,-0.06211627647280693,0.00926276110112667,-0.0042503573931753635
117,-0.09760528802871704,0.9979041814804077,-0.06470931321382523,-0.05196524038910866,-0.003881511278450489
118,0.6650922894477844,0.9979017972946167,-0.06474590301513672,-0.0007333793328143656,-0.004905538633465767
119,-0.09299471974372864,0.9976920485496521,-0.06790103763341904,-0.06324201077222824,-0.004206604324281216
120,0.24883553385734558,0.9974238276481628,-0.07173378020524979,-0.07684246450662613,-0.005079528782516718
121,0.8453244566917419,0.997409999370575,-0.07192549109458923,-0.003844131948426366,-0.006459636148065329
122,0.5470819473266602,0.9974965453147888,-0.07071488350629807,0.024274040013551712,-0.005482998676598072
123,0.322513222694397,0.9975654482841492,-0.06973656266927719,0.01961486041545868,-0.005171889904886484
124,0.1510305106639862,0.9975303411483765,-0.07023698091506958,-0.010032983496785164,-0.004932376556098461
125,0.7116801738739014,0.9976825714111328,-0.06804018467664719,0.044041309505701065,-0.005457921884953976
126,0.050951600074768066,0.9976847767829895,-0.06800756603479385,0.000653909461107105,-0.004833188373595476
127,0.5302127599716187,0.9977829456329346,-0.06655186414718628,0.029180150479078293,-0.004913344979286194
128,0.17475396394729614,0.9978011846542358,-0.06627850234508514,0.005479346960783005,-0.004551392048597336
129,0.4683256149291992,0.9978865385055542,-0.06498034298419952,0.02601931430399418,-0.004621618427336216
130,0.40616095066070557,0.9980088472366333,-0.06307385116815567,0.03820820152759552,-0.004461068194359541
131,-0.18476861715316772,0.9978910684585571,-0.06491070240736008,-0.03681248053908348,-0.004163723438978195
132,0.6233752369880676,0.9979169964790344,-0.0645110011100769,0.008010780438780785,-0.00474344240501523
133,0.5992475152015686,0.9980736374855042,-0.06204023212194443,0.04951465502381325,-0.004532970022410154
134,0.33358457684516907,0.9982346296310425,-0.05939401313662529,0.05302216857671738,-0.004210387356579304
135,0.36280566453933716,0.9984164834022522,-0.05625440180301666,0.06289751082658768,-0.003944567870348692
136,-0.23698922991752625,0.9983744621276855,-0.056995294988155365,-0.014841677621006966,-0.0036196750588715076
137,0.06182825565338135,0.9982338547706604,-0.05940689519047737,-0.04831391200423241,-0.0032778375316411257
138,0.46803250908851624,0.9981659054756165,-0.06053806468844414,-0.022664206102490425,-0.003985816612839699
139,0.5649643540382385,0.9982160329818726,-0.05970573052763939,0.016676897183060646,-0.004039894789457321
140,0.5157418847084045,0.9983600378036499,-0.05724700167775154,0.04925888031721115,-0.0038628196343779564
141,-0.1275058388710022,0.9983232021331787,-0.05788605287671089,-0.012802244164049625,-0.003539706813171506
142,0.7149083614349365,0.9984676241874695,-0.05533916875720024,0.051019471138715744,-0.003882027929648757
143,0.10323729366064072,0.9985359907150269,-0.05409100651741028,0.025000687688589096,-0.003336511552333832
144,0.17238561809062958,0.9985637068748474,-0.0535772405564785,0.010290274396538734,-0.003020915435627103
145,0.5711907148361206,0.9987092614173889,-0.05079174414277077,0.055785950273275375,-0.0032101194374263287
146,0.17764835059642792,0.9988194108009338,-0.04857751354575157,0.04433939605951309,-0.0029247889760881662
